8,84,0.49,2020-01-26
7,6,0.46,2020-01-26
4,2,0.6,2020-01-26
6,12,0.47,2020-01-26
5,68,0.48,2020-01-26
2,103,0.38,2020-01-26
1,39,0.54,2020-01-26
3,37,0.54,2020-01-26
15,39,0.47,2020-01-26
14,106,0.51,2020-01-26
13,87,0.42,2020-01-26
11,112,0.49,2020-01-26
12,23,0.48,2020-01-26
9,54,0.55,2020-01-26
10,8,0.6,2020-01-26
8,70,0.51,2020-01-26
7,107,0.45,2020-01-26
4,98,0.5,2020-01-26
6,74,0.49,2020-01-26
5,101,0.58,2020-01-26
2,26,0.46,2020-01-26
1,65,0.46,2020-01-26
3,103,0.67,2020-01-26
15,86,0.55,2020-01-26
14,84,0.38,2020-01-26
13,31,0.5,2020-01-26
11,27,0.6,2020-01-26
12,69,0.48,2020-01-26
9,15,0.54,2020-01-26
10,68,0.47,2020-01-26
8,102,0.37,2020-01-26
7,17,0.45,2020-01-26
4,83,0.3,2020-01-26
6,95,0.47,2020-01-26
5,64,0.5,2020-01-26
2,38,0.33,2020-01-26
1,33,0.46,2020-01-26
3,60,0.49,2020-01-26
16,86,0.46,2020-01-26
15,19,0.57,2020-01-26
14,16,0.55,2020-01-26
13,20,0.45,2020-01-26
11,15,0.46,2020-01-26
12,84,0.51,2020-01-26
9,31,0.64,2020-01-26
10,15,0.51,2020-01-26
8,3,0.41,2020-01-26
7,2,0.56,2020-01-26
4,111,0.51,2020-01-26
6,101,0.53,2020-01-26
5,17,0.52,2020-01-26
2,47,0.55,2020-01-26
1,97,0.57,2020-01-26
3,68,0.53,2020-01-26
16,106,0.49,2020-01-26
15,54,0.55,2020-01-26
14,25,0.48,2020-01-26
13,102,0.44,2020-01-26
11,111,0.52,2020-01-26
12,8,0.45,2020-01-26
9,13,0.55,2020-01-26
10,18,0.5,2020-01-26
8,42,0.6,2020-01-26
7,95,0.41,2020-01-26
4,27,0.54,2020-01-26
6,41,0.59,2020-01-26
5,111,0.53,2020-01-26
2,129,0.32,2020-01-26
1,110,0.61,2020-01-26
3,104,0.6,2020-01-26
17,86,0.54,2020-01-26
16,52,0.54,2020-01-26
15,52,0.51,2020-01-26
14,8,0.52,2020-01-26
13,69,0.48,2020-01-26
11,102,0.44,2020-01-26
12,52,0.4,2020-01-26
9,101,0.58,2020-01-26
10,87,0.46,2020-01-26
8,79,0.51,2020-01-26
7,26,0.56,2020-01-26
4,114,0.5,2020-01-26
6,114,0.45,2020-01-26
5,83,0.43,2020-01-26
2,15,0.45,2020-01-26
1,66,0.43,2020-01-26
3,50,0.56,2020-01-26
17,106,0.46,2020-01-26
16,19,0.51,2020-01-26
15,69,0.58,2020-01-26
14,41,0.5,2020-01-26
13,46,0.49,2020-01-26
11,54,0.52,2020-01-26
12,6,0.53,2020-01-26
9,27,0.54,2020-01-26
10,26,0.53,2020-01-26
8,72,0.43,2020-01-26
7,69,0.53,2020-01-26
4,66,0.38,2020-01-26
6,11,0.55,2020-01-26
5,112,0.42,2020-01-26
2,53,0.3,2020-01-26
1,2,0.52,2020-01-26
3,28,0.52,2020-01-26
17,52,0.42,2020-01-26
18,106,0.55,2020-01-26
16,7,0.51,2020-01-26
15,27,0.53,2020-01-26
14,74,0.48,2020-01-26
13,16,0.52,2020-01-26
11,8,0.59,2020-01-26
12,54,0.51,2020-01-26
9,46,0.46,2020-01-26
10,112,0.54,2020-01-26
8,74,0.55,2020-01-26
7,39,0.44,2020-01-26
4,65,0.58,2020-01-26
6,18,0.39,2020-01-26
5,3,0.61,2020-01-26
2,95,0.34,2020-01-26
1,4,0.55,2020-01-26
3,47,0.45,2020-01-26
17,19,0.5,2020-01-26
18,86,0.52,2020-01-26
16,102,0.48,2020-01-26
15,23,0.54,2020-01-26
14,121,0.37,2020-01-26
13,72,0.45,2020-01-26
11,88,0.45,2020-01-26
12,38,0.37,2020-01-26
9,76,0.53,2020-01-26
10,46,0.4,2020-01-26
8,15,0.44,2020-01-26
7,3,0.43,2020-01-26
4,38,0.48,2020-01-26
6,83,0.44,2020-01-26
5,10,0.47,2020-01-26
2,65,0.49,2020-01-26
1,21,0.59,2020-01-26
3,11,0.54,2020-01-26
19,86,0.49,2020-01-26
17,96,0.55,2020-01-26
18,8,0.49,2020-01-26
16,25,0.45,2020-01-26
15,20,0.5,2020-01-26
14,23,0.47,2020-01-26
13,27,0.49,2020-01-26
11,10,0.4,2020-01-26
12,93,0.45,2020-01-26
9,93,0.53,2020-01-26
10,84,0.54,2020-01-26
8,76,0.52,2020-01-26
7,114,0.48,2020-01-26
4,42,0.45,2020-01-26
6,42,0.72,2020-01-26
5,50,0.42,2020-01-26
2,69,0.45,2020-01-26
1,67,0.68,2020-01-26
3,81,0.42,2020-01-26
19,52,0.45,2020-01-26
17,23,0.5,2020-01-26
18,27,0.47,2020-01-26
16,23,0.47,2020-01-26
15,111,0.53,2020-01-26
14,26,0.63,2020-01-26
13,49,0.41,2020-01-26
11,76,0.4,2020-01-26
12,87,0.4,2020-01-26
9,42,0.51,2020-01-26
10,13,0.62,2020-01-26
8,114,0.51,2020-01-26
7,15,0.56,2020-01-26
4,50,0.5,2020-01-26
6,90,0.52,2020-01-26
5,15,0.59,2020-01-26
2,28,0.31,2020-01-26
